"","study","subj","resp","rt","evidence","absevi","signevi","prevsignevi","prevabsevi","prevsignabsevi","prevresp","prevconf","conf","prevrespconf","accuracy"
"195","Wang_2018",3,"0",0.25264,-1,1,-1,"-1",0.67,-0.67,"-1",1,1,-1,1
"196","Wang_2018",3,"0",0.29966,0.34,0.34,1,"-1",1,-1,"-1",1,1,-1,0
"197","Wang_2018",3,"1",0.28807,-0.34,0.34,-1,"1",0.34,0.34,"-1",1,0.505,-1,0
"198","Wang_2018",3,"1",0.43787,-0.67,0.67,-1,"-1",0.34,-0.34,"1",0.505,0.505,0.505,0
"199","Wang_2018",3,"0",0.33644,1e-05,0.01,0.001,"-1",0.67,-0.67,"1",0.505,0.505,0.505,0
"200","Wang_2018",3,"0",1.2754,-1,1,-1,"0.001",0.01,1e-05,"-1",0.505,0.505,-0.505,1
"201","Wang_2018",3,"1",0.23956,1e-05,0.01,0.001,"-1",1,-1,"-1",0.505,1,-0.505,0
"202","Wang_2018",3,"0",0.025031,-0.34,0.34,-1,"0.001",0.01,1e-05,"1",1,1,1,1
"203","Wang_2018",3,"0",0.24946,1e-05,0.01,0.001,"-1",0.34,-0.34,"-1",1,1,-1,0
"204","Wang_2018",3,"1",0.52167,0.67,0.67,1,"0.001",0.01,1e-05,"-1",1,0.505,-1,1
"205","Wang_2018",3,"0",0.045979,-1,1,-1,"1",0.67,0.67,"1",0.505,1,0.505,1
"206","Wang_2018",3,"0",0.29027,-1,1,-1,"-1",1,-1,"-1",1,0.505,-1,1
"207","Wang_2018",3,"0",0.058524,0.67,0.67,1,"-1",1,-1,"-1",0.505,1,-0.505,0
"208","Wang_2018",3,"0",0.16142,-0.34,0.34,-1,"1",0.67,0.67,"-1",1,0.505,-1,1
"209","Wang_2018",3,"1",0.09381,1,1,1,"-1",0.34,-0.34,"-1",0.505,1,-0.505,1
"210","Wang_2018",3,"0",0.11263,1e-05,0.01,0.001,"1",1,1,"1",1,1,1,0
"211","Wang_2018",3,"1",0.18889,1,1,1,"0.001",0.01,1e-05,"-1",1,1,-1,1
"212","Wang_2018",3,"0",0.59177,-0.67,0.67,-1,"1",1,1,"1",1,0.505,1,1
"213","Wang_2018",3,"1",0.087833,-0.34,0.34,-1,"-1",0.67,-0.67,"-1",0.505,1,-0.505,0
"214","Wang_2018",3,"1",0.1533,-0.34,0.34,-1,"-1",0.34,-0.34,"1",1,1,1,0
"215","Wang_2018",3,"1",0.19103,-0.67,0.67,-1,"-1",0.34,-0.34,"1",1,0.505,1,0
"216","Wang_2018",3,"1",0.19657,0.67,0.67,1,"-1",0.67,-0.67,"1",0.505,1,0.505,1
"217","Wang_2018",3,"1",1.1277,1,1,1,"1",0.67,0.67,"1",1,0.505,1,1
"218","Wang_2018",3,"1",0.18478,0.67,0.67,1,"1",1,1,"1",0.505,0.505,0.505,1
"219","Wang_2018",3,"0",0.54744,-1,1,-1,"1",0.67,0.67,"1",0.505,1,0.505,1
"220","Wang_2018",3,"1",0.21993,0.67,0.67,1,"-1",1,-1,"-1",1,1,-1,1
"221","Wang_2018",3,"1",0.48804,0.34,0.34,1,"1",0.67,0.67,"1",1,1,1,1
"222","Wang_2018",3,"0",1.7414,1e-05,0.01,0.001,"1",0.34,0.34,"1",1,0.505,1,0
"223","Wang_2018",3,"0",0.33853,-1,1,-1,"0.001",0.01,1e-05,"-1",0.505,1,-0.505,1
"224","Wang_2018",3,"1",0.22022,1,1,1,"-1",1,-1,"-1",1,1,-1,1
"225","Wang_2018",3,"1",0.73497,-0.34,0.34,-1,"1",1,1,"1",1,0.505,1,0
"226","Wang_2018",3,"0",0.048433,1e-05,0.01,0.001,"-1",0.34,-0.34,"1",0.505,1,0.505,0
"227","Wang_2018",3,"0",0.22617,-0.67,0.67,-1,"0.001",0.01,1e-05,"-1",1,0.505,-1,1
"228","Wang_2018",3,"0",0.22252,-0.34,0.34,-1,"-1",0.67,-0.67,"-1",0.505,0.505,-0.505,1
